fact_key,value_type,units,scope_kind,observation_actions,expert_truth_semantics,expert_validity,expert_supersession
planting:weather_suitable,boolean,,field,WeatherApp__get_current_weather|WeatherApp__get_forecast,,,
planting:soil_suitable,boolean,,field,SensorApp__read_soil_sensors,,,
inventory:seed_sufficient,boolean,,resource,FarmWorldApp__get_inventory,,,
inventory:fertilizer_sufficient,boolean,,resource,FarmWorldApp__get_inventory,,,
inventory:fuel_sufficient,boolean,,resource,FarmWorldApp__get_inventory,,,
inventory:fungicide_sufficient,boolean,,resource,FarmWorldApp__get_inventory,,,
equipment:tractor_ready,boolean,,equipment,TractorApp__get_status,,,
equipment:planter_ready,boolean,,equipment,TractorApp__get_status,,,
equipment:sprayer_ready,boolean,,equipment,TractorApp__get_status,,,
equipment:harvester_ready,boolean,,equipment,TractorApp__get_status,,,
equipment:drone_ready,boolean,,equipment,Mavic3M__check_status,,,
equipment:robot_ready,boolean,,equipment,Robot0__check_status,,,
weather:spray_window_open,boolean,,field,WeatherApp__get_current_weather,,,
weather:forecast_spray_window_open,boolean,,field,WeatherApp__get_forecast,,,
weather:harvest_window_open,boolean,,field,WeatherApp__get_current_weather,,,
soil:trafficable,boolean,,field,SensorApp__read_soil_sensors,,,
disease:confirmed,boolean,,ridge_range,Mavic3M__fly_survey|Robot0__inspect_crop_health,,,
disease:severity,number,,ridge_range,Mavic3M__fly_survey|Robot0__inspect_crop_health,,,
disease:affected_scope,mapping,,ridge_range,Mavic3M__fly_survey|Robot0__inspect_crop_health,,,
treatment:completed,boolean,,ridge_range,FarmWorldApp__get_ridge_range_state,,,
treatment:response,number,,ridge_range,Mavic3M__fly_survey|Robot0__inspect_crop_health,,,
crop:mature,boolean,,ridge_range,FarmWorldApp__get_ridge_range_state,,,
crop:grain_moisture,number,percent,ridge_range,FarmWorldApp__get_ridge_range_state,,,
equipment:dryer_ready,boolean,,equipment,FarmWorldApp__get_inventory,,,
storage:capacity_available,boolean,,resource,FarmWorldApp__get_inventory,,,
