module_id,label,phase,expert_weight_budget
field_preparation,Field preparation,field_prep,
planting,Planting readiness and execution,planting,
establishment,Establishment monitoring,emergence,
r1_monitoring,R1 monitoring,r1,
mid_diagnosis,Initial disease diagnosis,midseason,
mid_treatment,Initial treatment and response,midseason,
r5_recheck,"R5 recurrence, recheck, and treatment",r5,
harvest_readiness,Harvest readiness,harvest,
harvest_execution,Harvest and unloading,harvest,
drying_storage,Drying and storage,storage,
